codigo;febraban;nome;website
;false;Administradora de Consórcios Sicredi LTDA;www.sicredi.com.br
;false;Agoracred S/A Sociedade de Crédito, Financiamento e Investimento;
246;true;Banco ABC Brasil S.A.;www.abcbrasil.com.br
75;true;Banco ABN AMRO S.A.;www.abnamro.com
121;true;Banco Agibank S.A.;www.agibank.com.br
;false;Banco Alfa de Investimentos S.A.;www.alfanet.com.br
25;true;Banco Alfa S.A.;www.bancoalfa.com.br
641;true;Banco Alvorada S.A.;Não possui site
65;true;Banco Andbank (Brasil) S.A.;www.andbank-lla.com.br
213;false;Banco Arbi S.A.;www.arbi.com.br
96;true;Banco B3 S.A.;www.bmfbovespa.com.br/bancobmfbovespa/
24;true;Banco BANDEPE S.A.;www.santander.com.br
330;false;Banco Bari de Investimentos e Financiamentos S/A;www.bancobari.com.br
318;true;Banco BMG S.A.;www.bancobmg.com.br
752;true;Banco BNP Paribas Brasil S.A.;www.bnpparibas.com.br
107;true;Banco BOCOM BBM S.A.;www.bancobbm.com.br
63;true;Banco Bradescard S.A.;www.ibi.com.br
36;true;Banco Bradesco BBI S.A.;Não possui site
122;false;Banco Bradesco BERJ S.A.;
204;true;Banco Bradesco Cartões S.A.;não tem site
394;true;Banco Bradesco Financiamentos S.A.;não tem site
237;true;Banco Bradesco S.A.;www.bradesco.com.br
218;true;Banco BS2 S.A.;www.bs2.com/banco/
208;true;Banco BTG Pactual S.A.;www.btgpactual.com
;true;Banco C6 S.A.;https://www.c6bank.com/
473;true;Banco Caixa Geral - Brasil S.A.;www.bcgbrasil.com.br
412;false;Banco Capital S.A.;www.bancocapital.com.br
40;true;Banco Cargill S.A.;www.bancocargill.com.br
;true;Banco Caterpillar S.A.;www.catfinancial.com.br
266;false;Banco Cédula S.A.;www.bancocedula.com.br
;false;Banco Central do Brasil;www.bcb.gov.br
739;true;Banco Cetelem S.A.;www.cetelem.com.br
233;true;Banco Cifra S.A.;www.bancocifra.com.br
745;true;Banco Citibank S.A.;www.citibank.com.br
241;false;Banco Clássico S.A.;www.bancoclassico.com.br
;true;Banco CNH Industrial Capital S.A.;www.cnhindustrialcapital.com
756;true;Banco Cooperativo do Brasil S.A. - BANCOOB;www.bancoob.com.br
748;true;Banco Cooperativo Sicredi S.A.;www.sicredi.com.br
222;true;Banco Credit Agricole Brasil S.A.;www.calyon.com.br
505;true;Banco Credit Suisse (Brasil) S.A.;www.csfb.com
69;false;Banco Crefisa S.A.;www.crefisa.com.br
;true;Banco CSF S.A.;
3;true;Banco da Amazônia S.A.;www.bancoamazonia.com.br
83;true;Banco da China Brasil S.A.;www.boc-brazil.com
707;true;Banco Daycoval S.A.;www.daycoval.com.br
51;false;Banco de Desenvolvimento do Espírito Santo S.A.;
;false;Banco de Investimento Credit Suisse (Brasil) S.A.;www.csfb.com.br
300;false;Banco de La Nacion Argentina;www.bna.com.ar
495;false;Banco de La Provincia de Buenos Aires;www.bapro.com.ar
494;false;Banco de La Republica Oriental del Uruguay;www.bancorepublica.com.uy
;true;Banco de Lage Landen Brasil S.A.;www.dllgroup.com
654;false;Banco Digimais S.A.;www.bancodigimais.com.br/
;true;Banco Digio S.A.;www.aebb.com.br
1;true;Banco do Brasil S.A.;www.bb.com.br
47;true;Banco do Estado de Sergipe S.A.;www.banese.com.br
37;true;Banco do Estado do Pará S.A.;www.banpara.b.br
41;true;Banco do Estado do Rio Grande do Sul S.A.;www.banrisul.com.br
4;true;Banco do Nordeste do Brasil S.A.;www.banconordeste.gov.br
265;false;Banco Fator S.A.;www.fator.com.br
224;true;Banco Fibra S.A.;www.bancofibra.com.br
626;true;Banco Ficsa S.A.;www.ficsa.com.br
;true;Banco Fidis S.A.;www.bancofidis.com.br
94;true;Banco Finaxis S.A.;www.bancofinaxis.com.br
;true;Banco Ford S.A.;www.bancoford.com.br
;true;Banco GM S.A.;www.chevroletsf.com.br
612;true;Banco Guanabara S.A.;www.bancoguanabara.com.br
;true;Banco Honda S.A.;www.bancohonda.com.br
;true;Banco IBM S.A.;www.ibm.com/financing/br
12;true;Banco Inbursa S.A.;www.bancoinbursa.com
