codigo;descricao
AV;Avenida
R;Rua
A;Área
AC;Acesso
ACA;Acampamento
ACL;Acesso Local
AD;Adro
AE;Área Especial
AER;Aeroporto
AL;Alameda
AMD;Avenida Marginal Direita
AME;Avenida Marginal Esquerda
AN;Anel Viário
ANT;Antiga Estrada
ART;Artéria
AT;Alto
ATL;Atalho
A V;Área Verde
AVC;Avenida Contorno
AVM;Avenida Marginal
AVV;Avenida Velha
BAL;Balneário
BC;Beco
BCO;Buraco
BEL;Belvedere
BL;Bloco
BLO;Balão
BLS;Blocos
BLV;Bulevar
BSQ;Bosque
BVD;Boulevard
BX;Baixa
C;Cais
CAL;Calçada
CAM;Caminho
CAN;Canal
CH;Chácara
CHA;Chapadão
CIC;Ciclovia
CIR;Circular
CJ;Conjunto
CJM;Conjunto Mutirão
CMP;Complexo Viário
COL;Colônia
COM;Comunidade
CON;Condomínio
COR;Corredor
CPO;Campo
CRG;Córrego
CTN;Contorno
DSC;Descida
DSV;Desvio
DT;Distrito
EB;Entre Bloco
EIM;Estrada Intermunicipal
ENS;Enseada
ENT;Entrada Particular
EQ;Entre Quadra
ESC;Escada
ESD;Escadaria
ESE;Estrada Estadual
ESI;Estrada Vicinal
ESL;Estrada de Ligação
ESM;Estrada Municipal
ESP;Esplanada
ESS;Estrada de Servidão
EST;Estrada
ESV;Estrada Velha
ETA;Estrada Antiga
ETC;Estação
ETD;Estádio
ETN;Estância
ETP;Estrada Particular
ETT;Estacionamento
EVA;Evangélica
EVD;Elevada
EX;Eixo Industrial
FAV;Favela
FAZ;Fazenda
FER;Ferrovia
FNT;Fonte
FRA;Feira
FTE;Forte
GAL;Galeria
GJA;Granja
HAB;Núcleo Habitacional
IA;Ilha
IND;Indeterminado
IOA;Ilhota
JD;Jardim
JDE;Jardinete
LD;Ladeira
LGA;Lagoa
LGO;Lago
LOT;Loteamento
LRG;Largo
LT;Lote
MER;Mercado
MNA;Marina
MOD;Modulo
MRG;Projeção
MRO;Morro
MTE;Monte
NUC;Núcleo
NUR;Núcleo Rural
OUT;Outeiro
